chr pos hap.anc hap.old01 hap.old02 hap.old03 hap.old04 hap.old05 hap.old06 hap.old07 hap.old08 hap.old09 hap.old10 hap.old11 hap.old12 hap.young01 hap.young02 hap.young03 hap.young04 hap.young05 hap.young06 hap.young07 hap.young08 hap.young09 hap.young10 hap.young11 hap.young12
1 chr1 30414 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
2 chr1 32414 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.0332644493453885 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
3 chr1 34414 0.0235075415452613 0.0136367351320144 0.019897927891333 0.0233290758022265 0.001 0.0153679868538311 0.0315663752277027 0.0176094286673246 0.0188855843722467 0.001 0.0209821557541605 0.0159088547824384 0.010440497656878 0.0102505323258696 0.00768108738219552 0.001 0.0228471900558527 0.0281055349941497 0.001 0.0287232825716099 0.00958859418707959 0.0410497475025572 0.0203931115531441 0.0292977825801176 0.0292645377060025
4 chr1 36414 0.0228541208855523 0.0215221731865556 0.0204619441876804 0.0187928118974062 0.0232777932393475 0.00722009142656852 0.0361253949350514 0.0294606119930754 0.0341320175148872 0.001 0.0305176244910139 0.0192296640401494 0.001 0.0180568870744784 0.0128712680673218 0.00870853827697527 0.0428144330673894 0.0237929386737942 0.001 0.0244034470394038 0.0136004934467899 0.0562196343694432 0.0422163246320623 0.0424467820654316 0.0265630506431234
5 chr1 38414 0.0254858623801372 0.0290849225125328 0.0273305214878564 0.0263466505838829 0.0542086956751792 0.0284165642274162 0.0502462143028721 0.0541550335413693 0.0189142821763416 0.0280980520547293 0.0555229514836563 0.0374999269221777 0.0541884674188603 0.0322295003877621 0.0210638776274245 0.0292865237209058 0.0416168245729144 0.0638724475720834 0.0244852870847495 0.0545310883491407 0.0153752223133595 0.076380038438892 0.0593365613843465 0.0440997061643215 0.0422285116329107
6 chr1 40414 0.0221684770863838 0.0200085270287077 0.0151650061114789 0.0255928882213742 0.0512750885501076 0.0319189873989543 0.0461554513113552 0.0479109881653566 0.0167045595222941 0.0367463224493005 0.0435660294137845 0.0412793975866153 0.0465373858358869 0.0347878699478619 0.0229221021797449 0.0320076282101437 0.0396527142541858 0.0476566051304861 0.0420160931358988 0.0421015106621149 0.017130002222344 0.0790904621859358 0.0631309927338571 0.0377570713335712 0.0473276653899464
7 chr1 42414 0.032777797522456 0.023209369385472 0.0189752793222821 0.0390973055047041 0.0499465823935341 0.0230873725502521 0.038900024231641 0.0463182541115036 0.0250288909994796 0.0430027672701663 0.0359596022728512 0.0382128058943396 0.065180693439014 0.063486604599067 0.0288371879092045 0.0520903290570529 0.05219588219973 0.06586207571331 0.06711248880358 0.0326131730939526 0.0425492657904995 0.0782324229037029 0.069862801508624 0.036231647136306 0.0378153556904728
8 chr1 44414 0.0173195960886852 0.0187520531533649 0.0303362093681047 0.0323358282861091 0.0581091417121009 0.0398352484410776 0.0556434037567058 0.0401315939145782 0.0150340976266918 0.0660744683423139 0.0472487162547334 0.043172811737791 0.0634509206570011 0.0725551965081012 0.0431005956610916 0.0667721473673209 0.0391030057932392 0.0833010087488685 0.0813014271394469 0.0524798618250073 0.0513002602065554 0.0507017098509049 0.0650257529121498 0.0406854307589731 0.0445896037243347
9 chr1 46414 0.0223637374694371 0.0239386867421297 0.0288913221489005 0.0432798141265171 0.0617687211841733 0.0413601716261207 0.0563822008995389 0.0393731224814894 0.0130078520007131 0.0511475776258124 0.027075172427398 0.0474368086437658 0.0689894351262758 0.0646647299504328 0.0418290110585056 0.0572395576628577 0.0361670356956108 0.100563143127236 0.0995148980723291 0.0530108447829016 0.0613994602532505 0.0408889363729586 0.0467637242675464 0.0415715991744112 0.0374566856826558
10 chr1 48414 0.025269589360882 0.0284248099434528 0.0396691798581937 0.0394703312785386 0.0328375299826809 0.0406296599861298 0.0557559091364788 0.032681909572335 0.0244118901665828 0.0318490250473577 0.0140623849091146 0.0462898420829189 0.0469301982615375 0.0499372761340816 0.0460095583464073 0.0484134857027175 0.0371497269079802 0.0769608313089089 0.0850052921898267 0.0273456873603464 0.0550100099220144 0.0283197876736031 0.0282678139785685 0.0524369336912248 0.0255587922322746
